visits_per_day,avg_fee,monthly_visits,revenue_total,variable_costs,fixed_costs,gross_margin,net_operating
5,50,110,4950.00,1375.00,27300.00,3575.00,-23725.00
5,55,110,5225.00,1375.00,27300.00,3850.00,-23450.00
5,60,110,5500.00,1375.00,27300.00,4125.00,-23175.00
5,65,110,5775.00,1375.00,27300.00,4400.00,-22900.00
5,70,110,6050.00,1375.00,27300.00,4675.00,-22625.00
5,75,110,6325.00,1375.00,27300.00,4950.00,-22350.00
5,80,110,6600.00,1375.00,27300.00,5225.00,-22075.00
5,85,110,6875.00,1375.00,27300.00,5500.00,-21800.00
5,90,110,7150.00,1375.00,27300.00,5775.00,-21525.00
5,95,110,7425.00,1375.00,27300.00,6050.00,-21250.00
5,100,110,7700.00,1375.00,27300.00,6325.00,-20975.00
5,105,110,7975.00,1375.00,27300.00,6600.00,-20700.00
5,110,110,8250.00,1375.00,27300.00,6875.00,-20425.00
5,115,110,8525.00,1375.00,27300.00,7150.00,-20150.00
5,120,110,8800.00,1375.00,27300.00,7425.00,-19875.00
5,125,110,9075.00,1375.00,27300.00,7700.00,-19600.00
5,130,110,9350.00,1375.00,27300.00,7975.00,-19325.00
5,135,110,9625.00,1375.00,27300.00,8250.00,-19050.00
5,140,110,9900.00,1375.00,27300.00,8525.00,-18775.00
5,145,110,10175.00,1375.00,27300.00,8800.00,-18500.00
5,150,110,10450.00,1375.00,27300.00,9075.00,-18225.00
6,50,132,5940.00,1650.00,27300.00,4290.00,-23010.00
6,55,132,6270.00,1650.00,27300.00,4620.00,-22680.00
6,60,132,6600.00,1650.00,27300.00,4950.00,-22350.00
6,65,132,6930.00,1650.00,27300.00,5280.00,-22020.00
6,70,132,7260.00,1650.00,27300.00,5610.00,-21690.00
6,75,132,7590.00,1650.00,27300.00,5940.00,-21360.00
6,80,132,7920.00,1650.00,27300.00,6270.00,-21030.00
6,85,132,8250.00,1650.00,27300.00,6600.00,-20700.00
6,90,132,8580.00,1650.00,27300.00,6930.00,-20370.00
6,95,132,8910.00,1650.00,27300.00,7260.00,-20040.00
6,100,132,9240.00,1650.00,27300.00,7590.00,-19710.00
6,105,132,9570.00,1650.00,27300.00,7920.00,-19380.00
6,110,132,9900.00,1650.00,27300.00,8250.00,-19050.00
6,115,132,10230.00,1650.00,27300.00,8580.00,-18720.00
6,120,132,10560.00,1650.00,27300.00,8910.00,-18390.00
6,125,132,10890.00,1650.00,27300.00,9240.00,-18060.00
6,130,132,11220.00,1650.00,27300.00,9570.00,-17730.00
6,135,132,11550.00,1650.00,27300.00,9900.00,-17400.00
6,140,132,11880.00,1650.00,27300.00,10230.00,-17070.00
6,145,132,12210.00,1650.00,27300.00,10560.00,-16740.00
6,150,132,12540.00,1650.00,27300.00,10890.00,-16410.00
7,50,154,6930.00,1925.00,27300.00,5005.00,-22295.00
7,55,154,7315.00,1925.00,27300.00,5390.00,-21910.00
7,60,154,7700.00,1925.00,27300.00,5775.00,-21525.00
7,65,154,8085.00,1925.00,27300.00,6160.00,-21140.00
7,70,154,8470.00,1925.00,27300.00,6545.00,-20755.00
7,75,154,8855.00,1925.00,27300.00,6930.00,-20370.00
7,80,154,9240.00,1925.00,27300.00,7315.00,-19985.00
7,85,154,9625.00,1925.00,27300.00,7700.00,-19600.00
7,90,154,10010.00,1925.00,27300.00,8085.00,-19215.00
7,95,154,10395.00,1925.00,27300.00,8470.00,-18830.00
7,100,154,10780.00,1925.00,27300.00,8855.00,-18445.00
7,105,154,11165.00,1925.00,27300.00,9240.00,-18060.00
7,110,154,11550.00,1925.00,27300.00,9625.00,-17675.00
7,115,154,11935.00,1925.00,27300.00,10010.00,-17290.00
7,120,154,12320.00,1925.00,27300.00,10395.00,-16905.00
7,125,154,12705.00,1925.00,27300.00,10780.00,-16520.00
7,130,154,13090.00,1925.00,27300.00,11165.00,-16135.00
7,135,154,13475.00,1925.00,27300.00,11550.00,-15750.00
7,140,154,13860.00,1925.00,27300.00,11935.00,-15365.00
7,145,154,14245.00,1925.00,27300.00,12320.00,-14980.00
7,150,154,14630.00,1925.00,27300.00,12705.00,-14595.00
8,50,176,7920.00,2200.00,27300.00,5720.00,-21580.00
8,55,176,8360.00,2200.00,27300.00,6160.00,-21140.00
8,60,176,8800.00,2200.00,27300.00,6600.00,-20700.00
8,65,176,9240.00,2200.00,27300.00,7040.00,-20260.00
8,70,176,9680.00,2200.00,27300.00,7480.00,-19820.00
8,75,176,10120.00,2200.00,27300.00,7920.00,-19380.00
8,80,176,10560.00,2200.00,27300.00,8360.00,-18940.00
8,85,176,11000.00,2200.00,27300.00,8800.00,-18500.00
8,90,176,11440.00,2200.00,27300.00,9240.00,-18060.00
8,95,176,11880.00,2200.00,27300.00,9680.00,-17620.00
8,100,176,12320.00,2200.00,27300.00,10120.00,-17180.00
8,105,176,12760.00,2200.00,27300.00,10560.00,-16740.00
8,110,176,13200.00,2200.00,27300.00,11000.00,-16300.00
8,115,176,13640.00,2200.00,27300.00,11440.00,-15860.00
8,120,176,14080.00,2200.00,27300.00,11880.00,-15420.00
8,125,176,14520.00,2200.00,27300.00,12320.00,-14980.00
8,130,176,14960.00,2200.00,27300.00,12760.00,-14540.00
8,135,176,15400.00,2200.00,27300.00,13200.00,-14100.00
8,140,176,15840.00,2200.00,27300.00,13640.00,-13660.00
8,145,176,16280.00,2200.00,27300.00,14080.00,-13220.00
8,150,176,16720.00,2200.00,27300.00,14520.00,-12780.00
9,50,198,8910.00,2475.00,27300.00,6435.00,-20865.00
9,55,198,9405.00,2475.00,27300.00,6930.00,-20370.00
9,60,198,9900.00,2475.00,27300.00,7425.00,-19875.00
9,65,198,10395.00,2475.00,27300.00,7920.00,-19380.00
9,70,198,10890.00,2475.00,27300.00,8415.00,-18885.00
9,75,198,11385.00,2475.00,27300.00,8910.00,-18390.00
9,80,198,11880.00,2475.00,27300.00,9405.00,-17895.00
9,85,198,12375.00,2475.00,27300.00,9900.00,-17400.00
9,90,198,12870.00,2475.00,27300.00,10395.00,-16905.00
9,95,198,13365.00,2475.00,27300.00,10890.00,-16410.00
9,100,198,13860.00,2475.00,27300.00,11385.00,-15915.00
9,105,198,14355.00,2475.00,27300.00,11880.00,-15420.00
9,110,198,14850.00,2475.00,27300.00,12375.00,-14925.00
9,115,198,15345.00,2475.00,27300.00,12870.00,-14430.00
9,120,198,15840.00,2475.00,27300.00,13365.00,-13935.00
9,125,198,16335.00,2475.00,27300.00,13860.00,-13440.00
9,130,198,16830.00,2475.00,27300.00,14355.00,-12945.00
9,135,198,17325.00,2475.00,27300.00,14850.00,-12450.00
9,140,198,17820.00,2475.00,27300.00,15345.00,-11955.00
9,145,198,18315.00,2475.00,27300.00,15840.00,-11460.00
9,150,198,18810.00,2475.00,27300.00,16335.00,-10965.00
10,50,220,9900.00,2750.00,27300.00,7150.00,-20150.00
10,55,220,10450.00,2750.00,27300.00,7700.00,-19600.00
10,60,220,11000.00,2750.00,27300.00,8250.00,-19050.00
10,65,220,11550.00,2750.00,27300.00,8800.00,-18500.00
10,70,220,12100.00,2750.00,27300.00,9350.00,-17950.00
10,75,220,12650.00,2750.00,27300.00,9900.00,-17400.00
10,80,220,13200.00,2750.00,27300.00,10450.00,-16850.00
10,85,220,13750.00,2750.00,27300.00,11000.00,-16300.00
10,90,220,14300.00,2750.00,27300.00,11550.00,-15750.00
10,95,220,14850.00,2750.00,27300.00,12100.00,-15200.00
10,100,220,15400.00,2750.00,27300.00,12650.00,-14650.00
10,105,220,15950.00,2750.00,27300.00,13200.00,-14100.00
10,110,220,16500.00,2750.00,27300.00,13750.00,-13550.00
10,115,220,17050.00,2750.00,27300.00,14300.00,-13000.00
10,120,220,17600.00,2750.00,27300.00,14850.00,-12450.00
10,125,220,18150.00,2750.00,27300.00,15400.00,-11900.00
10,130,220,18700.00,2750.00,27300.00,15950.00,-11350.00
10,135,220,19250.00,2750.00,27300.00,16500.00,-10800.00
10,140,220,19800.00,2750.00,27300.00,17050.00,-10250.00
10,145,220,20350.00,2750.00,27300.00,17600.00,-9700.00
10,150,220,20900.00,2750.00,27300.00,18150.00,-9150.00
11,50,242,10890.00,3025.00,27300.00,7865.00,-19435.00
11,55,242,11495.00,3025.00,27300.00,8470.00,-18830.00
11,60,242,12100.00,3025.00,27300.00,9075.00,-18225.00
11,65,242,12705.00,3025.00,27300.00,9680.00,-17620.00
11,70,242,13310.00,3025.00,27300.00,10285.00,-17015.00
11,75,242,13915.00,3025.00,27300.00,10890.00,-16410.00
11,80,242,14520.00,3025.00,27300.00,11495.00,-15805.00
11,85,242,15125.00,3025.00,27300.00,12100.00,-15200.00
11,90,242,15730.00,3025.00,27300.00,12705.00,-14595.00
11,95,242,16335.00,3025.00,27300.00,13310.00,-13990.00
11,100,242,16940.00,3025.00,27300.00,13915.00,-13385.00
11,105,242,17545.00,3025.00,27300.00,14520.00,-12780.00
11,110,242,18150.00,3025.00,27300.00,15125.00,-12175.00
11,115,242,18755.00,3025.00,27300.00,15730.00,-11570.00
11,120,242,19360.00,3025.00,27300.00,16335.00,-10965.00
11,125,242,19965.00,3025.00,27300.00,16940.00,-10360.00
11,130,242,20570.00,3025.00,27300.00,17545.00,-9755.00
11,135,242,21175.00,3025.00,27300.00,18150.00,-9150.00
